Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,151.5800018310547,152.42999267578125,150.63999938964844,150.9600067138672,150.11880493164062,60394600
2021-11-05,151.88999938964844,152.1999969482422,150.05999755859375,151.27999877929688,150.65658569335938,65463900
2021-11-08,151.41000366210938,151.57000732421875,150.16000366210938,150.44000244140625,149.8200225830078,55020900
2021-11-09,150.1999969482422,151.42999267578125,150.05999755859375,150.80999755859375,150.1885223388672,56787900
2021-11-10,150.02000427246094,150.1300048828125,147.85000610351562,147.9199981689453,147.3104248046875,65187100
2021-11-11,148.9600067138672,149.42999267578125,147.67999267578125,147.8699951171875,147.2606201171875,41000000
2021-11-12,148.42999267578125,150.39999389648438,147.47999572753906,149.99000549316406,149.3719024658203,63804000
2021-11-15,150.3699951171875,151.8800048828125,149.42999267578125,150.0,149.38185119628906,59222800
2021-11-16,149.94000244140625,151.49000549316406,149.33999633789062,151.0,150.3777313232422,59256200
2021-11-17,151.0,155.0,150.99000549316406,153.49000549316406,152.8574676513672,88807000
2021-11-18,153.7100067138672,158.6699981689453,153.0500030517578,157.8699951171875,157.21942138671875,137827700
2021-11-19,157.64999389648438,161.02000427246094,156.52999877929688,160.5500030517578,159.88836669921875,117305600
2021-11-22,161.67999267578125,165.6999969482422,161.0,161.02000427246094,160.3564453125,117467900
2021-11-23,161.1199951171875,161.8000030517578,159.05999755859375,161.41000366210938,160.7448272705078,96041900
2021-11-24,160.75,162.13999938964844,159.63999938964844,161.94000244140625,161.27264404296875,69463600
2021-11-26,159.57000732421875,160.4499969482422,156.36000061035156,156.80999755859375,156.16378784179688,76959800
2021-11-29,159.3699951171875,161.19000244140625,158.7899932861328,160.24000549316406,159.5796661376953,88748200
2021-11-30,159.99000549316406,165.52000427246094,159.9199981689453,165.3000030517578,164.61880493164062,174048100
2021-12-01,167.47999572753906,170.3000030517578,164.52999877929688,164.77000427246094,164.0909881591797,152052500
2021-12-02,158.74000549316406,164.1999969482422,157.8000030517578,163.75999450683594,163.08514404296875,136739200
2021-12-03,164.02000427246094,164.9600067138672,159.72000122070312,161.83999633789062,161.1730499267578,118023100
2021-12-06,164.2899932861328,167.8800048828125,164.27999877929688,165.32000732421875,164.6387176513672,107497000
2021-12-07,169.0800018310547,171.5800018310547,168.33999633789062,171.17999267578125,170.47454833984375,120405400
2021-12-08,172.1300048828125,175.9600067138672,170.6999969482422,175.0800018310547,174.35848999023438,116998900
2021-12-09,174.91000366210938,176.75,173.9199981689453,174.55999755859375,173.84063720703125,108923700
2021-12-10,175.2100067138672,179.6300048828125,174.69000244140625,179.4499969482422,178.71047973632812,115402700
2021-12-13,181.1199951171875,182.1300048828125,175.52999877929688,175.74000549316406,175.0157928466797,153237000
2021-12-14,175.25,177.74000549316406,172.2100067138672,174.3300018310547,173.61158752441406,139380400
2021-12-15,175.11000061035156,179.5,172.30999755859375,179.3000030517578,178.5611114501953,131063300
2021-12-16,179.27999877929688,181.13999938964844,170.75,172.25999450683594,171.5500946044922,150185800
2021-12-17,169.92999267578125,173.47000122070312,169.69000244140625,171.13999938964844,170.43472290039062,195432700
2021-12-20,168.27999877929688,170.5800018310547,167.4600067138672,169.75,169.0504608154297,107499100
2021-12-21,171.55999755859375,173.1999969482422,169.1199951171875,172.99000549316406,172.277099609375,91185900
2021-12-22,173.0399932861328,175.86000061035156,172.14999389648438,175.63999938964844,174.9161834716797,92135300
2021-12-23,175.85000610351562,176.85000610351562,175.27000427246094,176.27999877929688,175.55355834960938,68356600
2021-12-27,177.08999633789062,180.4199981689453,177.07000732421875,180.3300018310547,179.5868682861328,74919600
2021-12-28,180.16000366210938,181.3300018310547,178.52999877929688,179.2899932861328,178.5511474609375,79144300
2021-12-29,179.3300018310547,180.6300048828125,178.13999938964844,179.3800048828125,178.64077758789062,62348900
2021-12-30,179.47000122070312,180.57000732421875,178.08999633789062,178.1999969482422,177.4656219482422,59773000
2021-12-31,178.08999633789062,179.22999572753906,177.25999450683594,177.57000732421875,176.83824157714844,64062300
2022-01-03,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,181.25991821289062,104487900
2022-01-04,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,178.95944213867188,99310400
2022-01-05,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,174.19915771484375,94537600
2022-01-06,172.6999969482422,175.3000030517578,171.63999938964844,172.0,171.2911834716797,96904000
2022-01-07,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,171.4604949951172,86709100
2022-01-10,169.0800018310547,172.5,168.1699981689453,172.19000244140625,171.48040771484375,106765600
2022-01-11,172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,174.35848999023438,76138300
2022-01-12,176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,174.806640625,74805200
2022-01-13,175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,171.48040771484375,84505800
2022-01-14,171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,172.35679626464844,80440800
2022-01-18,171.50999450683594,172.5399932861328,169.41000366210938,169.8000030517578,169.1002655029297,90956700
2022-01-19,170.0,171.0800018310547,165.94000244140625,166.22999572753906,165.5449676513672,94815000
2022-01-20,166.97999572753906,169.67999267578125,164.17999267578125,164.50999450683594,163.83206176757812,91420500
2022-01-21,164.4199981689453,166.3300018310547,162.3000030517578,162.41000366210938,161.74072265625,122848900
2022-01-24,160.02000427246094,162.3000030517578,154.6999969482422,161.6199951171875,160.95394897460938,162294600
2022-01-25,158.97999572753906,162.75999450683594,157.02000427246094,159.77999877929688,159.1215362548828,115798400
2022-01-26,163.5,164.38999938964844,157.82000732421875,159.69000244140625,159.0319061279297,108275300
2022-01-27,162.4499969482422,163.83999633789062,158.27999877929688,159.22000122070312,158.5638427734375,121954600
2022-01-28,165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,169.62808227539062,179935700
2022-01-31,170.16000366210938,175.0,169.50999450683594,174.77999877929688,174.0597381591797,115541600
2022-02-01,174.00999450683594,174.83999633789062,172.30999755859375,174.61000061035156,173.89044189453125,86213900
2022-02-02,174.75,175.8800048828125,173.3300018310547,175.83999633789062,175.11534118652344,84914300
2022-02-03,174.47999572753906,176.24000549316406,172.1199951171875,172.89999389648438,172.18746948242188,89418100
2022-02-04,171.67999267578125,174.10000610351562,170.67999267578125,172.38999938964844,171.8983154296875,82465400
2022-02-07,172.86000061035156,173.9499969482422,170.9499969482422,171.66000366210938,171.17039489746094,77251200
2022-02-08,171.72999572753906,175.35000610351562,171.42999267578125,174.8300018310547,174.3313446044922,74829200
2022-02-09,176.0500030517578,176.64999389648438,174.89999389648438,176.27999877929688,175.7772216796875,71285000
2022-02-10,174.13999938964844,175.47999572753906,171.5500030517578,172.1199951171875,171.6290740966797,90865900
2022-02-11,172.3300018310547,173.0800018310547,168.0399932861328,168.63999938964844,168.1590118408203,98670700
2022-02-14,167.3699951171875,169.5800018310547,166.55999755859375,168.8800048828125,168.3983154296875,86185500
2022-02-15,170.97000122070312,172.9499969482422,170.25,172.7899932861328,172.2971649169922,62527400
2022-02-16,171.85000610351562,173.33999633789062,170.0500030517578,172.5500030517578,172.057861328125,61177400
2022-02-17,171.02999877929688,171.91000366210938,168.47000122070312,168.8800048828125,168.3983154296875,69589300
2022-02-18,169.82000732421875,170.5399932861328,166.19000244140625,167.3000030517578,166.8228302001953,82772700
